ModuleName,FlashSize,WiFiGPIO,FwInfoAddr,FwBaseAddr,FwMaxSize,FixedConnId
"ESP-WROOM-02D",2,0,0x111000,0x112000,716800,1
"ESP-LAUNCHER",4,12,0x210000,0x211000,716800,1
